mmsi;signalpower;ppm;received_at;station_id;msg_id;imo ( International Maritime Organization number);callsign;shipname;shiptype (https://api.vtexplorer.com/docs/ref-aistypes.html) faire table;to_port;to_bow;to_stern;to_starboard;eta (estimation destination);draught (The depth of water a ship needs to float.);destination;status;turn;speed;lat;lon;course;heading;aid_type;alt;count (nombre personne);msg_types;channels
503115990;-12.006549;-4.050926;04/09/2024 19:27;0;NULL;NULL;PU267S;CADENCE;36;0;0;0;0;NULL;NULL;NULL;NULL;NULL;0.3;-22.276754;166.44003;360;511;NULL;NULL;784;17039360;3
503132160;-16.322506;-0.868056;01/05/2024 06:22;0;NULL;NULL;SY509;LOLI-POP;37;2;5;8;3;NULL;NULL;NULL;NULL;NULL;6.7;-22.275372;166.3849;314.30002;329;NULL;NULL;25;17039360;3
503138720;-14.327411;-0.868056;04/09/2024 19:28;0;NULL;NULL;;KEKADA 2;37;4;9;6;4;NULL;NULL;NULL;NULL;NULL;0.2;-22.281261;166.4313;360;511;NULL;NULL;324;17039360;3
503164580;-7.185212;1.446759;09/05/2024 02:36;0;NULL;NULL;863786;POLLY PEPTIDE;36;4;7;7;1;NULL;NULL;NULL;NULL;NULL;0.1;-22.276655;166.43996;148.3;511;NULL;NULL;27;17039360;3
512000959;-9.551701;-1.157407;05/05/2024 12:12;0;NULL;NULL;ZMA2414;CHARLOTTE ROSE;36;3;13;3;2;NULL;NULL;NULL;NULL;NULL;102.3;-22.281076;166.43137;360;511;NULL;NULL;208;17039360;3
512006181;-19.113266;-4.340278;04/09/2024 19:26;0;NULL;NULL;ZMG3482;TE TOKATEA;36;0;0;10;3;NULL;NULL;NULL;NULL;NULL;0.1;-22.287098;166.43591;12.900001;511;NULL;NULL;519;17039360;3
533130158;-16.674637;-5.787037;05/05/2024 06:34;0;NULL;NULL;9MTD6;KATALI;36;0;0;0;0;NULL;NULL;NULL;NULL;NULL;4.8;-22.288591;166.43137;114.8;511;NULL;NULL;12;17039360;3
538008142;-17.25524;-2.314815;04/09/2024 07:50;0;NULL;9843780;V7A2010;LARGO CALIFORNIA;80;8;149;34;24;09-03T19:00Z;8.8;SB HIR > NC NOU;5;0;0;-22.237047;166.40361;5.2;106;NULL;NULL;315;42;3
538010369;-18.275864;-0.578704;31/08/2024 02:38;0;NULL;9427940;V7A5950;VIKING PAGLIA;70;16;32;151;16;09-11T00:01Z;7.7; NC NOU > CN SHA;0;0;14.5;-22.325214;166.28552;222.40001;220;NULL;NULL;616;42;3
540000240;-18.002203;-2.893518;03/09/2024 20:34;0;NULL;0;FG8786;MARY D PRINCESS;65;3;29;0;3;00-00T24:60Z;1.5;VALLON DORE;0;-128;17.9;-22.314808;166.51215;64;511;NULL;NULL;1862;42;3
540000320;-16.409399;-2.893518;03/09/2024 03:20;0;NULL;NULL;FW7226;LYLIANE;31;1;3;10;3;NULL;NULL;NULL;NULL;NULL;0;-22.244543;166.41542;304.7;511;NULL;NULL;40;17039360;3
540000630;-13.344044;-2.604167;15/03/2024 22:35;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;5.5;-22.285976;166.42569;256;511;NULL;NULL;3;262144;3
540000880;-16.059414;-2.604167;13/06/2024 01:11;0;NULL;0;FN4357;STERNE 2 PILOT BOAT;50;3;11;6;3;00-00T24:60Z;1.4;;0;-128;20;-22.325838;166.44795;127.8;511;NULL;NULL;202;42;3
540001000;-8.502524;-1.157407;04/09/2024 19:28;0;NULL;NULL;FNJN;LOUIS HENIN;33;4;14;14;3;NULL;NULL;NULL;NULL;NULL;0;-22.242174;166.41595;174.40001;511;NULL;NULL;4201;17039360;3
540001310;-18.106987;-2.025463;18/06/2024 01:14;0;NULL;NULL;FGE4289;CATALYST II;37;5;10;5;1;NULL;NULL;NULL;NULL;NULL;2.8;-22.285572;166.42546;90.700005;102;NULL;NULL;5;17039360;2
540001430;-15.141109;2.314815;04/09/2024 19:28;0;NULL;0;FGE5148;NOUMEA.PILOT.NODDI;0;30;10;20;40;00-00T24:60Z;0;HOME;15;-128;0;-22.275206;166.43962;131.1;511;NULL;NULL;5139;42;3
540001770;-17.691969;-4.918982;13/06/2024 09:20;0;NULL;NULL;FGE6562;VOLANTIS;36;1;9;3;6;NULL;NULL;NULL;NULL;NULL;0;-22.278566;166.43796;360;511;NULL;NULL;7;17039360;3
540001910;-15.371242;-6.655093;04/09/2024 19:26;0;NULL;NULL;FGE788;SULULU YA PILI;36;2;11;7;2;NULL;NULL;NULL;NULL;NULL;0;-22.277937;166.43646;47.5;511;NULL;NULL;1152;17039360;3
540001940;-17.581795;-2.314815;16/06/2024 00:01;0;NULL;NULL;FGE8554;41 SUD;36;2;12;8;2;NULL;NULL;NULL;NULL;NULL;0.1;-22.292028;166.43729;111.6;511;NULL;NULL;63;17039360;3
540002230;-16.619488;-7.233796;01/09/2024 06:43;0;NULL;NULL;FGD8101;TE FETIA;36;2;9;6;6;NULL;NULL;NULL;NULL;NULL;0.1;-22.289907;166.43852;23.7;511;NULL;NULL;241;17039360;3
540002440;-19.185284;0.868056;07/05/2024 23:00;0;NULL;NULL;FGE4284;CATANOUZOT;37;4;10;3;3;NULL;NULL;NULL;NULL;NULL;5.5;-22.308859;166.42749;161.90001;511;NULL;NULL;39;17039360;3
540002660;-18.179834;-4.050926;02/09/2024 06:33;0;NULL;NULL;FGF5402;AMOUAVA;60;2;2;4;2;NULL;NULL;NULL;NULL;NULL;5.3;-22.286074;166.44057;40.8;511;NULL;NULL;217;17039360;3
540002940;-18.247082;2.604167;01/05/2024 08:04;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;5.2;-22.28817;166.43137;105.700005;511;NULL;NULL;9;262144;3
540003220;-19.099377;-1.446759;21/04/2024 01:26;0;NULL;0;FGF6131;SNS 270   .;51;3;4;6;1;00-00T24:60Z;1;NOUMEA;0;-128;3.9;-22.276262;166.43823;82;511;NULL;NULL;730;42;3
540003300;-11.416143;-0.289352;04/09/2024 02:19;0;NULL;NULL;FOCK;OUARAI;52;3;5;10;1;NULL;NULL;NULL;NULL;NULL;0.1;-22.244852;166.41544;141.8;511;NULL;NULL;167;17039360;3
540003690;-19.674093;0.868056;03/09/2024 03:02;0;NULL;NULL;FGE8954;ZAP;37;3;6;9;3;NULL;NULL;NULL;NULL;NULL;0.2;-22.277563;166.43668;67;511;NULL;NULL;134;17039360;3
540004000;-15.969248;-0.289352;02/09/2024 22:05;0;NULL;0;FWXT;F/V PESCANA RESOLU;30;2;15;15;6;04-27T22:00Z;3.5;NOUMEA;5;-128;8.5;-22.264544;166.35437;231.90001;511;NULL;NULL;1245;42;3
540004050;-19.00599;11.284722;04/09/2024 19:16;0;NULL;NULL;FT4043;KALIM;36;4;4;8;2;NULL;NULL;NULL;NULL;NULL;0.2;-22.287334;166.44185;360;511;NULL;NULL;701;17039360;3
540004470;-17.790855;-3.18287;31/08/2024 02:14;0;NULL;NULL;FGG3201;TY KALON;36;1;12;1;6;NULL;NULL;NULL;NULL;NULL;7.5;-22.27443;166.38593;291.30002;511;NULL;NULL;16;17039360;3
540005030;-10.438257;-0.289352;01/09/2024 06:45;0;NULL;NULL;;LANCER;37;0;8;8;0;NULL;NULL;NULL;NULL;NULL;0.2;-22.278679;166.43712;184.6;511;NULL;NULL;216;17039360;3
540005770;-15.741377;-3.18287;05/05/2024 07:03;0;NULL;NULL;FGB3426;TABOU;37;2;5;10;3;NULL;NULL;NULL;NULL;NULL;4.8;-22.288511;166.4368;65;511;NULL;NULL;175;17039360;3
540005830;-17.578121;4.050926;01/09/2024 06:41;0;NULL;NULL;FGG8229;TR1LLUM;37;1;0;6;3;NULL;NULL;NULL;NULL;NULL;5.4;-22.28518;166.41075;163.3;511;NULL;NULL;34;17039360;3
540006070;-14.767066;-3.761574;04/09/2024 19:12;0;NULL;NULL;FGG9143; HOT DOG;60;1;3;5;2;NULL;NULL;NULL;NULL;NULL;26.300001;-22.299232;166.42842;153.8;511;NULL;NULL;233;17039360;3
540006120;-9.385291;-2.025463;04/09/2024 07:25;0;NULL;NULL;;S/V POULPITO;36;2;11;0;2;NULL;NULL;NULL;NULL;NULL;0;-22.289602;166.43718;360;511;NULL;NULL;1417;17039360;3
540006230;-7.868583;-5.208333;04/09/2024 19:28;0;NULL;NULL;FGG9174;GREY DOG;60;1;3;5;1;NULL;NULL;NULL;NULL;NULL;21.2;-22.2606;166.41278;288.1;511;NULL;NULL;331;17039360;3
540006450;-17.985872;-5.497685;15/06/2024 07:07;0;NULL;NULL;FGH3121;HOMER;60;2;3;5;2;NULL;NULL;NULL;NULL;NULL;0.1;-22.276133;166.44066;360;511;NULL;NULL;58;17039360;3
540006460;-17.582819;-6.076389;04/09/2024 06:50;0;NULL;NULL;FGH3123;NAUTICA;60;1;3;5;1;NULL;NULL;NULL;NULL;NULL;22.7;-22.285397;166.42584;39.3;511;NULL;NULL;59;17039360;3
540006870;-15.296192;4.050926;16/05/2024 04:09;0;NULL;NULL;FGH3733;SNS619;51;1;5;1;1;NULL;NULL;NULL;NULL;NULL;6.4;-22.21316;166.4441;263.5;511;NULL;NULL;162;17039360;3
540007250;-10.642036;-1.157407;04/09/2024 19:28;0;NULL;0;FAA2693;GAIAC;52;5;13;11;6;10-04T10:00Z;5;NOUMEA;0;-128;0.4;-22.238033;166.40466;81;511;NULL;NULL;9465;42;3
540007360;-12.928409;-3.761574;31/08/2024 00:24;0;NULL;NULL;FGA7360;IMAGINE 1;36;0;0;0;0;NULL;NULL;NULL;NULL;NULL;3.8;-22.286572;166.432;136.3;511;NULL;NULL;73;17039360;3
540007560;-13.672659;-4.340278;01/09/2024 05:48;0;NULL;NULL;FAA3929;IBILDUN LAU;37;2;7;5;2;NULL;NULL;NULL;NULL;NULL;0;-22.276781;166.43906;360;63;NULL;NULL;374;17039360;3
540007750;-9.258422;2.604167;03/09/2024 07:04;0;NULL;NULL;FAA5582;FURAX2;37;5;11;5;3;NULL;NULL;NULL;NULL;NULL;0;-22.290525;166.43637;360;511;NULL;NULL;31;17039360;3
540007900;-13.639118;-2.604167;17/06/2024 00:40;0;NULL;NULL;FMIP;CAP NDOUA;52;7;8;17;2;NULL;NULL;NULL;NULL;NULL;0;-22.268677;166.43402;25.4;511;NULL;NULL;16;17039360;3
540007930;-19.394884;-2.893518;16/03/2024 22:47;0;NULL;NULL;;NULL;36;2;12;4;5;NULL;NULL;NULL;NULL;NULL;6.9;-22.286007;166.42377;213.2;511;NULL;NULL;6;17039360;3
540008340;-16.01487;-10.416667;31/08/2024 23:39;0;NULL;NULL;FAA8318;TAI'A;36;0;15;1;5;NULL;NULL;NULL;NULL;NULL;5.5;-22.287788;166.42326;223;511;NULL;NULL;40;17039360;3
540008500;-12.26259;-1.736111;03/09/2024 06:23;0;NULL;NULL;FQNK;BAYOU;36;4;13;5;5;NULL;NULL;NULL;NULL;NULL;0.3;-22.270836;166.42754;307.5;511;NULL;NULL;14;17039360;3
540008520;-13.420601;-4.62963;15/03/2024 22:52;0;NULL;NULL;NULL;LIFOU;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;102.3;91;181;360;511;NULL;NULL;3;17039360;3
540008610;-9.019466;-4.918982;04/09/2024 06:36;0;NULL;NULL;FAA9172;TIMIE 3;37;4;10;4;4;NULL;NULL;NULL;NULL;NULL;0;-22.28999;166.4381;360;84;NULL;NULL;135;17039360;3
540008850;-15.008813;-2.314815;03/09/2024 20:44;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9.6;-22.276617;166.43573;257.80002;511;NULL;NULL;3;262144;3
540008900;-13.548919;-5.787037;01/09/2024 06:05;0;NULL;NULL;FNNU;CHAMPEJE;36;0;0;0;0;NULL;NULL;NULL;NULL;NULL;0;-22.289686;166.4387;360;285;NULL;NULL;93;17039360;3
540009290;-17.2086;-3.472222;08/05/2024 22:19;0;NULL;NULL;FAB6024;NAUTICA 2;60;1;3;5;1;NULL;NULL;NULL;NULL;NULL;18.6;-22.29037;166.42397;173.8;511;NULL;NULL;239;17039360;3
540009300;-4.800153;-1.446759;14/04/2024 04:14;0;NULL;9515486;FNQK;LAURA III;73;10;70;8;5;03-17T00:00Z;3;NOUMEA;5;-128;0;-22.265688;166.42418;317.1;511;NULL;NULL;128;40;3
540009390;-15.801316;-2.314815;15/06/2024 01:33;0;NULL;NULL;FAB6137;MAXENCE;60;2;4;4;1;NULL;NULL;NULL;NULL;NULL;20.6;-22.270388;166.43158;331.9;314;NULL;NULL;67;17039360;3
540009400;-15.2367;0.868056;04/09/2024 19:27;0;NULL;NULL;FNQS;MARCEL VIRATELLE;52;2;5;15;4;NULL;NULL;NULL;NULL;NULL;0;-22.265182;166.43826;84.3;511;NULL;NULL;349;17039360;3
540009420;-13.936435;-3.472222;04/09/2024 07:18;0;NULL;NULL;FAB6224;SERENDIPITY;36;2;5;7;0;NULL;NULL;NULL;NULL;NULL;4;-22.288784;166.43654;48.9;511;NULL;NULL;46;17039360;3
540009500;-11.495563;-2.893518;16/05/2024 04:20;0;NULL;NULL;;;37;0;0;0;0;NULL;NULL;NULL;NULL;NULL;0;-22.276867;166.43765;0;511;NULL;NULL;16;17039360;3
540009600;-13.554849;-2.604167;04/09/2024 19:28;0;NULL;9464924;FNRI;BETICO 2;40;6;19;37;8;09-01T21:30Z;3;NOUMEA;9;0;0;-22.268417;166.43668;80.8;89;NULL;NULL;17458;42;3
540009650;-17.611164;-3.761574;14/06/2024 05:18;0;NULL;NULL;FAB7670;KHAN;36;4;7;7;0;NULL;NULL;NULL;NULL;NULL;0;-22.284803;166.44138;360;511;NULL;NULL;141;17039360;3
540009860;-17.974874;-2.025463;04/09/2024 19:18;0;NULL;NULL;FMDQ;CASA;36;1;7;6;6;NULL;NULL;NULL;NULL;NULL;0;-22.277193;166.44014;46.3;511;NULL;NULL;986;17039360;3
540009930;-16.693443;-3.18287;04/09/2024 07:26;0;NULL;NULL;FL6561;BLADE RUNNER;37;0;10;0;3;NULL;NULL;NULL;NULL;NULL;1.6;-22.292826;166.4371;240.7;511;NULL;NULL;422;17039360;3
540009980;-13.994368;-4.918982;04/09/2024 19:26;0;NULL;NULL;FGD7816;KAORI;52;2;12;12;9;NULL;NULL;NULL;NULL;NULL;0.8;-22.237345;166.40326;145.5;511;NULL;NULL;4929;17039360;3
540010010;-17.080591;-6.944445;03/09/2024 05:17;0;NULL;0;;PILOT_OCEANITE;0;0;0;0;0;00-00T24:45Z;0;;5;-128;6.9;-22.276052;166.43893;266.7;511;NULL;NULL;874;42;3
540010100;-18.220675;-5.497685;31/08/2024 20:18;0;NULL;NULL;FW9248;YANDE;36;2;7;6;5;NULL;NULL;NULL;NULL;NULL;5.8;-22.310905;166.43845;121.200005;511;NULL;NULL;54;17039360;3
