"mmsi","signalpower","ppm","received_at","station_id","msg_id","imo","callsign","shipname","shiptype","to_port","to_bow","to_stern","to_starboard","eta","draught","destination","status","turn","speed","lat","lon","course","heading","aid_type","alt","count","msg_types","channels"
"503100470","0","0","2024-10-04 04:03:11","0",1,NULL,NULL,"MARGARET OLLEY      ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.846066666666665","151.13638666666665",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503345500","0","0","2024-10-04 04:03:14","0",3,NULL,NULL,"GOLDEN GROVE        ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.8463","151.23966833333333",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503783000","0","0","2024-10-04 04:03:15","0",3,NULL,NULL,"SVITZER SWIFT       ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.96738","151.21951166666668",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503345700","0","0","2024-10-04 04:03:16","0",3,NULL,NULL,"SIRIUS              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.859305","151.21140333333332",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503106720","0","0","2024-10-04 04:03:16","0",3,NULL,NULL,"KURT FEARNLEY       ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.85366","151.21029333333334",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503376700","0","0","2024-10-04 04:03:17","0",1,NULL,NULL,"SHANE GOULD         ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.82405","151.05409999999998",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503345400","0","0","2024-10-04 04:03:18","0",1,NULL,NULL,"FRIENDSHIP          ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.85634833333334","151.227585",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"636012254","0","0","2024-10-04 04:03:18","0",3,NULL,NULL,"YM SUCCESS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.9694","151.21881666666667",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503106810","0","0","2024-10-04 04:03:19","0",1,NULL,NULL,"CLONTARF            ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.80298333333334","151.28252166666667",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503058420","0","0","2024-10-04 04:03:20","0",1,NULL,NULL,"BUNGAREE            ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.84889","151.2092616666667",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503090160","0","0","2024-10-04 04:03:20","0",3,NULL,NULL,"ME-MEL              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.86722666666667","151.1864",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503055050","0","0","2024-10-04 04:03:20","0",1,NULL,NULL,"VICTOR CHANG        ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.853785","151.22421166666666",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503241900","0","0","2024-10-04 04:03:21","0",1,NULL,NULL,"NICOLE LIVINGSTONE  ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.86173333333333","151.19985",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503345200","0","0","2024-10-04 04:03:22","0",3,NULL,NULL,"CHARLOTTE           ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.86125","151.19726666666665",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503059930","0","0","2024-10-04 04:03:24","0",1,NULL,NULL,"MAY GIBBS           ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.85428666666667","151.22704166666665",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"319270200","0","0","2024-10-04 04:03:24","0",1,NULL,NULL,"LANCE               ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.862608333333334","151.19477166666667",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503106690","0","0","2024-10-04 04:03:25","0",3,NULL,NULL,"CHERYL SALISBURY    ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.86415","151.20045333333334",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503376600","0","0","2024-10-04 04:03:25","0",1,NULL,NULL,"MARLENE MATHEWS     ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.856500000000004","151.21113333333332",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503053140","0","0","2024-10-04 04:03:25","0",1,NULL,NULL,"FRED HOLLOWS        ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.857913333333336","151.26197833333333",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503376200","0","0","2024-10-04 04:03:27","0",1,NULL,NULL,"DAWN FRASER         ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.85516666666667","151.18763333333334",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503100480","0","0","2024-10-04 04:03:27","0",1,NULL,NULL,"RUBY LANGFORD       ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.861063333333334","151.21185333333332",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"228406800","0","0","2024-10-04 04:03:27","0",3,NULL,NULL,"FREYCINET           ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.973036666666665","151.21097",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503077160","0","0","2024-10-04 04:03:30","0",1,NULL,NULL,"SL MARTINIQUE       ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.980981666666665","151.20985333333334",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503345300","0","0","2024-10-04 04:03:31","0",1,NULL,NULL,"FISHBURN            ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.860818333333334","151.21115833333334",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503161930","0","0","2024-10-04 04:03:33","0",1,NULL,NULL,"FRANCES BODKIN      ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.85458","151.18838666666667",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503114780","0","0","2024-10-04 04:03:33","0",3,NULL,NULL,"OCEANA              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.86962166666667","151.18018166666667",NULL,NULL,NULL,NULL,NULL,NULL,NULL
